Speaker,Text,Actionable Words,Dates,Context
Sophia,conference regarding the document is expected on 09-25-2024.,Document,09-25-2024,conference
Charlotte,"During the study, there will be a webinar on no specific date.",Study,NULL,webinar
Sarah,A webinar is set to occur on no specific date related to the assignment.,Assignment,NULL,webinar
Alice,"During the task, there will be a session on no specific date.",Task,NULL,session
Sophia,testing regarding the document is expected on no specific date.,Document,NULL,testing
James,The presentation is happening on 01-18-2024 regarding the project.,Project,01-18-2024,presentation
Ethan,The orientation is planned for 05-12-2024 during the study.,Study,05-12-2024,orientation
Chris,The implementation is happening on 06-28-2025 regarding the exercise.,Exercise,06-28-2025,implementation
Mark,The meeting is planned for 08-28-2025 during the study.,Study,08-28-2025,meeting
David,A standup is set to occur on 02-12-2025 related to the exercise.,Exercise,02-12-2025,standup
Emma,A testing is set to occur on 05-03-2024 related to the deliverable.,Deliverable,05-03-2024,testing
David,A workshop is set to occur on no specific date related to the analysis.,Analysis,NULL,workshop
Chris,The orientation is happening on 03-03-2024 regarding the paper.,Paper,03-03-2024,orientation
Mark,catch-up regarding the presentation is expected on 01-14-2025.,Presentation,01-14-2025,catch-up
James,A discussion is set to occur on no specific date related to the report.,Report,NULL,discussion
Mark,The workshop is planned for 08-05-2025 during the paper.,Paper,08-05-2025,workshop
John,A meeting is set to occur on 10-16-2025 related to the report.,Report,10-16-2025,meeting
Chris,The huddle is planned for 09-10-2024 during the deliverable.,Deliverable,09-10-2024,huddle
Mark,The conference is planned for 05-09-2025 during the task.,Task,05-09-2025,conference
Charlotte,The deployment is planned for 06-24-2025 during the review.,Review,06-24-2025,deployment
Liam,The training is planned for no specific date during the deliverable.,Deliverable,NULL,training
James,The standup is planned for 04-13-2025 during the deliverable.,Deliverable,04-13-2025,standup
Charlotte,The testing is planned for 07-28-2025 during the plan.,Plan,07-28-2025,testing
David,A session is set to occur on 04-02-2025 related to the proposal.,Proposal,04-02-2025,session
John,A catch-up is set to occur on 06-01-2025 related to the study.,Study,06-01-2025,catch-up
Sophia,The meeting is happening on 07-26-2024 regarding the homework.,Homework,07-26-2024,meeting
Chris,catch-up regarding the analysis is expected on 09-08-2024.,Analysis,09-08-2024,catch-up
Sophia,A standup is set to occur on no specific date related to the review.,Review,NULL,standup
David,The alignment is happening on 02-12-2025 regarding the task.,Task,02-12-2025,alignment
Sophia,The session is happening on 10-16-2025 regarding the task.,Task,10-16-2025,session
Sophia,A presentation is set to occur on 05-13-2025 related to the study.,Study,05-13-2025,presentation
Sarah,A alignment is set to occur on no specific date related to the homework.,Homework,NULL,alignment
Alice,The briefing is planned for 12-19-2025 during the report.,Report,12-19-2025,briefing
Sarah,The alignment is happening on 01-27-2024 regarding the paper.,Paper,01-27-2024,alignment
Ethan,"During the deliverable, there will be a workshop on 03-13-2025.",Deliverable,03-13-2025,workshop
Mark,brainstorm regarding the report is expected on 07-20-2024.,Report,07-20-2024,brainstorm
Ethan,The testing is planned for 04-03-2024 during the report.,Report,04-03-2024,testing
Emma,"During the draft, there will be a submission on 01-17-2024.",Draft,01-17-2024,submission
Chris,The meeting is planned for 05-04-2024 during the report.,Report,05-04-2024,meeting
Alice,"During the task, there will be a conference on 04-01-2025.",Task,04-01-2025,conference
David,webinar regarding the report is expected on no specific date.,Report,NULL,webinar
Charlotte,briefing regarding the proposal is expected on 11-28-2025.,Proposal,11-28-2025,briefing
Sarah,A alignment is set to occur on no specific date related to the presentation.,Presentation,NULL,alignment
Liam,"During the research, there will be a presentation on 09-26-2024.",Research,09-26-2024,presentation
James,The submission is planned for 03-16-2025 during the plan.,Plan,03-16-2025,submission
Sarah,discussion regarding the assignment is expected on 09-01-2024.,Assignment,09-01-2024,discussion
Sophia,The session is planned for 09-18-2025 during the study.,Study,09-18-2025,session
Chris,"During the report, there will be a standup on 02-08-2025.",Report,02-08-2025,standup
David,The submission is planned for 04-10-2025 during the plan.,Plan,04-10-2025,submission
Mark,implementation regarding the homework is expected on no specific date.,Homework,NULL,implementation
Sarah,A catch-up is set to occur on 10-11-2024 related to the presentation.,Presentation,10-11-2024,catch-up
Sarah,discussion regarding the document is expected on 08-26-2025.,Document,08-26-2025,discussion
Alice,A discussion is set to occur on 07-12-2025 related to the experiment.,Experiment,07-12-2025,discussion
Sarah,"During the study, there will be a submission on 05-11-2025.",Study,05-11-2025,submission
James,A conference is set to occur on no specific date related to the homework.,Homework,NULL,conference
Isabella,"During the plan, there will be a deployment on 11-02-2025.",Plan,11-02-2025,deployment
Isabella,The standup is planned for 01-01-2025 during the proposal.,Proposal,01-01-2025,standup
Charlotte,The huddle is planned for 10-01-2025 during the research.,Research,10-01-2025,huddle
Alice,The deadline is planned for 06-02-2025 during the document.,Document,06-02-2025,deadline
Olivia,alignment regarding the paper is expected on 03-14-2024.,Paper,03-14-2024,alignment
Olivia,The alignment is happening on no specific date regarding the draft.,Draft,NULL,alignment
James,huddle regarding the proposal is expected on 02-07-2024.,Proposal,02-07-2024,huddle
Chris,The deadline is happening on 12-06-2025 regarding the assignment.,Assignment,12-06-2025,deadline
Mark,The standup is happening on 02-13-2024 regarding the assignment.,Assignment,02-13-2024,standup
Charlotte,The session is happening on no specific date regarding the draft.,Draft,NULL,session
Ethan,A meeting is set to occur on 05-22-2024 related to the project.,Project,05-22-2024,meeting
James,The standup is planned for 11-28-2025 during the review.,Review,11-28-2025,standup
Isabella,orientation regarding the research is expected on 06-06-2025.,Research,06-06-2025,orientation
Charlotte,implementation regarding the plan is expected on 01-11-2024.,Plan,01-11-2024,implementation
Chris,training regarding the homework is expected on 09-12-2025.,Homework,09-12-2025,training
Charlotte,The conference is planned for 02-20-2025 during the document.,Document,02-20-2025,conference
Isabella,The submission is planned for no specific date during the deliverable.,Deliverable,NULL,submission
Alice,catch-up regarding the deliverable is expected on 06-16-2024.,Deliverable,06-16-2024,catch-up
Charlotte,briefing regarding the document is expected on 06-18-2025.,Document,06-18-2025,briefing
Mark,huddle regarding the experiment is expected on no specific date.,Experiment,NULL,huddle
John,The conference is planned for 10-04-2025 during the report.,Report,10-04-2025,conference
Ethan,submission regarding the report is expected on 10-25-2024.,Report,10-25-2024,submission
Olivia,The brainstorm is happening on 04-19-2024 regarding the report.,Report,04-19-2024,brainstorm
James,"During the document, there will be a session on 04-09-2024.",Document,04-09-2024,session
James,"During the report, there will be a standup on 06-02-2024.",Report,06-02-2024,standup
Chris,"During the presentation, there will be a conference on 04-13-2024.",Presentation,04-13-2024,conference
James,The workshop is happening on 10-01-2025 regarding the paper.,Paper,10-01-2025,workshop
Mark,"During the research, there will be a brainstorm on 10-21-2025.",Research,10-21-2025,brainstorm
Olivia,The presentation is planned for no specific date during the task.,Task,NULL,presentation
David,The standup is planned for 11-17-2025 during the document.,Document,11-17-2025,standup
Isabella,session regarding the assignment is expected on no specific date.,Assignment,NULL,session
Liam,The implementation is happening on 04-10-2025 regarding the assignment.,Assignment,04-10-2025,implementation
Alice,The presentation is happening on no specific date regarding the exercise.,Exercise,NULL,presentation
Charlotte,The training is happening on no specific date regarding the deliverable.,Deliverable,NULL,training
Charlotte,The huddle is planned for 08-15-2024 during the experiment.,Experiment,08-15-2024,huddle
Olivia,discussion regarding the task is expected on no specific date.,Task,NULL,discussion
Sophia,alignment regarding the paper is expected on no specific date.,Paper,NULL,alignment
Charlotte,The catch-up is happening on 01-07-2024 regarding the proposal.,Proposal,01-07-2024,catch-up
James,orientation regarding the proposal is expected on no specific date.,Proposal,NULL,orientation
Charlotte,"During the study, there will be a workshop on 03-19-2025.",Study,03-19-2025,workshop
James,The catch-up is planned for no specific date during the experiment.,Experiment,NULL,catch-up
Ethan,A deadline is set to occur on 11-10-2024 related to the presentation.,Presentation,11-10-2024,deadline
Alice,workshop regarding the homework is expected on 02-16-2024.,Homework,02-16-2024,workshop
Sophia,implementation regarding the homework is expected on no specific date.,Homework,NULL,implementation
Chris,The catch-up is planned for 12-07-2025 during the task.,Task,12-07-2025,catch-up
James,"During the experiment, there will be a training on 03-01-2024.",Experiment,03-01-2024,training
Sarah,The standup is planned for 10-22-2025 during the review.,Review,10-22-2025,standup
David,briefing regarding the deliverable is expected on 02-24-2025.,Deliverable,02-24-2025,briefing
Olivia,The standup is planned for 01-06-2024 during the plan.,Plan,01-06-2024,standup
David,presentation regarding the proposal is expected on 05-20-2025.,Proposal,05-20-2025,presentation
Alice,A session is set to occur on 01-13-2025 related to the homework.,Homework,01-13-2025,session
Isabella,"During the exercise, there will be a conference on 06-25-2025.",Exercise,06-25-2025,conference
Liam,"During the draft, there will be a submission on no specific date.",Draft,NULL,submission
Chris,The training is happening on no specific date regarding the proposal.,Proposal,NULL,training
James,"During the study, there will be a testing on no specific date.",Study,NULL,testing
Chris,The webinar is happening on 04-05-2025 regarding the plan.,Plan,04-05-2025,webinar
Liam,"During the project, there will be a meeting on 02-03-2025.",Project,02-03-2025,meeting
Alice,A alignment is set to occur on no specific date related to the study.,Study,NULL,alignment
David,The testing is planned for 03-16-2024 during the plan.,Plan,03-16-2024,testing
Mark,A discussion is set to occur on 01-10-2025 related to the proposal.,Proposal,01-10-2025,discussion
James,A orientation is set to occur on no specific date related to the presentation.,Presentation,NULL,orientation
Liam,"During the experiment, there will be a alignment on no specific date.",Experiment,NULL,alignment
James,webinar regarding the experiment is expected on 09-01-2024.,Experiment,09-01-2024,webinar
James,"During the experiment, there will be a orientation on 11-25-2024.",Experiment,11-25-2024,orientation
John,The orientation is happening on no specific date regarding the document.,Document,NULL,orientation
James,"During the task, there will be a discussion on no specific date.",Task,NULL,discussion
Emma,A catch-up is set to occur on 07-14-2024 related to the homework.,Homework,07-14-2024,catch-up
Sarah,"During the research, there will be a standup on 10-11-2024.",Research,10-11-2024,standup
Olivia,A conference is set to occur on 09-01-2024 related to the homework.,Homework,09-01-2024,conference
David,The alignment is happening on 10-27-2024 regarding the document.,Document,10-27-2024,alignment
Isabella,session regarding the assignment is expected on 02-03-2025.,Assignment,02-03-2025,session
Emma,A webinar is set to occur on 11-03-2025 related to the assignment.,Assignment,11-03-2025,webinar
Ethan,The testing is happening on 11-23-2024 regarding the draft.,Draft,11-23-2024,testing
David,orientation regarding the analysis is expected on no specific date.,Analysis,NULL,orientation
John,A webinar is set to occur on 03-01-2024 related to the proposal.,Proposal,03-01-2024,webinar
Alice,The presentation is planned for 04-05-2024 during the plan.,Plan,04-05-2024,presentation
Emma,The huddle is planned for no specific date during the paper.,Paper,NULL,huddle
Olivia,meeting regarding the deliverable is expected on no specific date.,Deliverable,NULL,meeting
Emma,implementation regarding the plan is expected on 03-22-2024.,Plan,03-22-2024,implementation
Olivia,The briefing is happening on no specific date regarding the presentation.,Presentation,NULL,briefing
Emma,alignment regarding the research is expected on 12-08-2024.,Research,12-08-2024,alignment
John,A discussion is set to occur on 05-25-2025 related to the draft.,Draft,05-25-2025,discussion
Liam,The alignment is happening on no specific date regarding the plan.,Plan,NULL,alignment
Sophia,The brainstorm is planned for 12-06-2025 during the plan.,Plan,12-06-2025,brainstorm
Emma,webinar regarding the draft is expected on 01-25-2025.,Draft,01-25-2025,webinar
Liam,session regarding the project is expected on no specific date.,Project,NULL,session
Sophia,A training is set to occur on 12-12-2025 related to the draft.,Draft,12-12-2025,training
Chris,The brainstorm is planned for 06-05-2025 during the deliverable.,Deliverable,06-05-2025,brainstorm
Sarah,webinar regarding the research is expected on 08-02-2024.,Research,08-02-2024,webinar
Ethan,The workshop is planned for no specific date during the task.,Task,NULL,workshop
David,The deployment is happening on 04-19-2024 regarding the research.,Research,04-19-2024,deployment
Chris,The training is planned for 10-18-2024 during the experiment.,Experiment,10-18-2024,training
Olivia,implementation regarding the homework is expected on 07-11-2024.,Homework,07-11-2024,implementation
